x,y,z,cell_type_patient
1.1749266,8.240035,4.38835,2
-1.6813406,8.041952,4.649356,2
-1.0405593,8.858401,5.2743654,2
-1.0021083,9.886676,4.0262957,2
1.4022284,6.6042447,3.9937062,2
0.112164736,8.708802,4.5027328,2
0.46594444,7.33287,4.1395288,2
1.7018242,5.953499,4.4890866,2
0.48704597,7.0904093,3.338526,2
-0.43272325,9.919258,2.7376552,2
-0.82723516,7.955188,3.3936,2
0.5102507,6.696774,2.0333958,2
0.081679925,6.434628,2.9074886,2
1.420168,8.423519,4.4718957,2
0.6166101,5.786272,2.3981903,2
1.7554531,8.460175,5.15531,2
0.39623803,5.877169,1.5927328,2
0.9725398,7.6516614,3.8693893,2
1.0531961,7.683782,5.187729,2
0.1887816,7.423583,5.8894944,2
0.37306067,9.166773,5.147799,2
1.6034685,4.3271885,4.223546,2
1.0428556,8.705515,4.84413,2
2.4704916,7.033143,4.223977,2
-1.5090284,9.141809,2.7082164,2
-0.69958276,9.309495,3.8613977,2
-1.3840212,4.396813,3.8316293,2
2.0418286,7.7316294,4.473636,2
-0.85943794,8.797513,2.4075358,2
2.2301793,7.3955545,4.8636003,2
2.1025398,8.747046,3.7109814,2
-0.55492485,8.836499,5.0643597,2
1.3417317,7.251427,3.3215067,2
-0.008414739,9.035832,4.856914,2
1.1122562,8.177783,2.7285068,2
-0.64771056,9.069264,4.038887,2
0.03206562,9.193203,4.7016625,2
-0.5710073,8.721776,3.6837296,2
1.2795383,6.742038,2.3764246,2
-1.0417883,9.886784,4.722004,2
1.348802,9.458772,3.8207877,2
1.8375171,7.622252,5.311104,2
0.4466755,3.6455717,3.7707653,2
1.6450166,9.692384,3.4602973,2
1.0046523,9.900845,4.2475486,2
0.79698735,6.207906,3.9833984,2
-1.5772098,8.730202,4.121113,2
-1.1535361,5.073826,4.3906646,2
0.887696,9.671158,4.8812385,2
0.45062366,7.9140873,5.084062,2
1.5573692,8.325613,2.894708,2
0.7612744,10.08231,3.499869,2
1.916562,7.931874,3.9223802,2
0.24491708,10.01649,3.7090216,2
-0.17342716,9.074672,2.36184,2
-2.0108933,8.688107,4.1487937,2
2.4676507,8.346536,3.4580371,2
2.3613253,8.283703,3.9475827,2
1.283433,9.11325,4.923066,2
1.6205188,9.744054,3.186977,2
1.6454606,9.516452,2.4141219,2
1.5754646,9.079441,3.8229604,2
1.6867086,6.885714,1.8797553,2
-1.181105,7.6208987,5.4464774,2
2.280294,7.0553684,4.829703,2
1.2847145,9.683041,2.754085,2
0.02346709,8.452547,4.3499007,2
-1.6906997,8.702701,4.0821633,2
-0.67979705,10.195813,3.2733648,2
-0.3303346,6.5460863,5.615877,2
0.5954845,7.6946254,5.5988197,2
0.4013774,5.1277514,3.3777816,2
1.315227,5.9508905,2.3211923,2
1.7909538,6.328592,4.2401342,2
-0.81604505,8.228566,2.4575937,2
1.8973691,4.8950877,3.6111856,2
-0.04273621,8.702868,2.2681804,2
-0.4503973,9.310477,3.2853887,2
1.2187283,5.1492,1.8879923,2
2.023178,8.39094,4.064885,2
1.6995944,8.645658,2.0014522,2
2.0726318,8.212362,3.7361765,2
1.3043177,7.642737,4.114606,2
-0.79949677,9.96283,4.3973002,2
1.3645583,7.8049946,3.0487187,2
-1.2884177,7.6159067,4.2208962,2
0.46431607,8.545082,4.949474,2
-1.458083,7.0005198,4.143192,2
1.8693379,4.917858,3.1764345,2
-0.70274067,8.227335,5.4598885,2
0.5233871,6.54931,3.2846065,2
0.46076095,8.13896,3.6250873,2
1.7674077,8.239676,4.401977,2
0.777835,7.9942474,3.4108996,2
-0.97689104,9.752901,4.7718325,2
-1.5885757,9.002703,3.3539708,2
1.3568172,7.426128,2.557908,2
1.3527625,8.5451975,1.6694834,2
1.2313241,9.319747,3.5678713,2
-1.147492,6.664183,5.3178487,2
-0.85289675,9.908167,2.8140078,2
2.140806,8.748924,3.7133503,2
0.1627922,8.749694,3.2775176,2
0.4470791,8.165557,3.7710226,2
-0.10834836,7.980843,5.1468096,2
-1.2019575,6.4809346,2.3553216,2
2.148283,8.15863,4.106419,2
-0.33103532,9.905364,4.742382,2
-0.517323,3.6688204,3.1655097,2
-0.786711,9.426893,3.8136213,2
-0.21156317,7.14654,2.621506,2
0.04642928,8.963645,4.7686143,2
-1.3005087,9.229571,3.0187962,2
-1.092673,9.06198,4.3948226,2
-0.2987334,7.7066846,3.0943916,2
0.90725905,9.136154,5.0003033,2
1.090732,7.1142526,4.084399,2
-1.9951184,6.625178,4.5743594,2
1.2434841,7.5733175,4.292596,2
0.7782853,7.358351,2.1497753,2
1.498791,8.066275,2.882048,2
0.5421565,7.058254,1.8168054,2
0.42348465,8.453188,4.9780564,2
-1.4622164,6.9831824,3.7469914,2
-0.3849891,6.8770328,4.2737226,2
-0.96143603,9.872809,2.895344,2
1.6815237,8.150966,2.1440604,2
-0.23883435,7.2627406,5.86399,2
1.6284294,8.274739,2.0016932,2
-0.18288332,10.013015,2.520221,2
1.1581398,9.642414,2.7015011,2
-0.5282305,6.002643,4.0437827,2
-0.00018290107,7.693625,3.8994796,2
1.3784281,7.5856547,5.2258415,2
-0.034186784,4.7268457,3.2347076,2
0.7686054,8.1719055,4.725192,2
2.1100326,7.812882,5.047045,2
0.6828092,8.681116,3.8939352,2
0.6557641,9.269637,5.155217,2
-1.4803135,7.9087353,5.662219,2
-0.6900153,8.776731,2.1621017,2
1.5403068,8.042399,4.9427495,2
-1.693684,8.256768,4.1020617,2
-0.32828853,7.8207517,1.8600829,2
0.7656537,7.3274693,5.8278184,2
0.5365909,7.7137747,2.2627933,2
-0.07305161,7.7562056,1.8204811,2
1.6860236,6.6634245,4.130552,2
